DateTime,open,close,high,low
2022-03-24 08:26:35,445.46,445.47,445.53,445.43
2022-03-24 08:26:40,445.47,445.48,445.51,445.43
2022-03-24 08:26:45,445.48,445.45,445.52,445.45
2022-03-24 08:26:50,445.45,445.45,445.48,445.43
2022-03-24 08:26:55,445.45,445.43,445.45,445.41
2022-03-24 08:27:00,445.43,445.4,445.47,445.39
2022-03-24 08:27:05,445.4,445.33,445.41,445.33
2022-03-24 08:27:10,445.33,445.33,445.35,445.28
2022-03-24 08:27:15,445.33,445.48,445.49,445.33
2022-03-24 08:27:20,445.48,445.56,445.58,445.47
2022-03-24 08:27:25,445.56,445.58,445.62,445.56
2022-03-24 08:27:30,445.58,445.6,445.62,445.53
2022-03-24 08:27:35,445.6,445.51,445.61,445.5
2022-03-24 08:27:40,445.51,445.51,445.52,445.45
2022-03-24 08:27:45,445.51,445.49,445.54,445.47
2022-03-24 08:27:50,445.49,445.56,445.58,445.47
2022-03-24 08:27:55,445.56,445.52,445.57,445.51
2022-03-24 08:28:00,445.52,445.55,445.56,445.49
2022-03-24 08:28:05,445.55,445.52,445.56,445.51
2022-03-24 08:28:10,445.52,445.54,445.55,445.49
2022-03-24 08:28:15,445.54,445.5,445.57,445.49
2022-03-24 08:28:20,445.5,445.56,445.6,445.5
2022-03-24 08:28:25,445.56,445.57,445.61,445.56
2022-03-24 08:28:30,445.57,445.55,445.58,445.54
2022-03-24 08:28:35,445.55,445.51,445.58,445.5
2022-03-24 08:28:40,445.51,445.54,445.56,445.49
2022-03-24 08:28:45,445.54,445.56,445.58,445.54
2022-03-24 08:28:50,445.56,445.51,445.58,445.5
2022-03-24 08:28:55,445.51,445.51,445.58,445.51
2022-03-24 08:29:00,445.51,445.64,445.67,445.51
2022-03-24 08:29:05,445.64,445.58,445.64,445.53
2022-03-24 08:29:10,445.58,445.62,445.67,445.55
2022-03-24 08:29:15,445.62,445.62,445.65,445.57
2022-03-24 08:29:20,445.62,445.66,445.67,445.61
2022-03-24 08:29:25,445.66,445.68,445.69,445.64
2022-03-24 08:29:30,445.68,445.64,445.68,445.62
2022-03-24 08:29:35,445.64,445.58,445.65,445.54
2022-03-24 08:29:40,445.58,445.51,445.58,445.49
2022-03-24 08:29:45,445.51,445.45,445.52,445.44
2022-03-24 08:29:50,445.45,445.49,445.51,445.44
2022-03-24 08:29:55,445.49,445.43,445.51,445.43
2022-03-24 08:30:00,445.43,445.5,445.51,445.42
